manufact	model	sales	resale	type	price	engine_s	horsepow	wheelbas	width	length	curb_wgt	fuel_cap	mpg	lnsales	zresale	ztype	zprice	zengine_	zhorsepo	zwheelba	zwidth	zlength	zcurb_wg	zfuel_ca	zmpg
"Acura"	"Integra"	16.919	16.36	0	21.5	1.8	140	101.2	67.3	172.4	2.639	13.2	28	2.828437250776659	-0.14956061822177805	-0.5926187754015971	-0.4104582768991945	-1.2070012417075744	-0.8103784467726188	-0.8227889226028865	-1.1153368819597367	-1.112556813283551	-1.1721235379834463	-1.222227188566414	0.9705265862180141
"Acura"	"TL"	39.384	19.875	0	28.4	3.2	225	108.1	70.3	192.9	3.517	17.2	25	3.6733596424558996	0.15733557678471297	-0.5926187754015971	0.07032257176107694	0.1331567206154277	0.6887312357336504	0.08019843087360419	-0.24624320770539193	0.4136771816035474	0.2204184508961365	-0.1933997696193712	0.27003715826500485
"Acura"	"CL"	14.114	18.225	0		3.2	225	106.9	70.6	192	3.47	17.2	26	2.6471672125786387	0.013273351532732982	-0.5926187754015971		0.1331567206154277	0.6887312357336504	-0.07684284799187115	-0.15933384027995826	0.3466717867060646	0.14587463144586318	-0.1933997696193712	0.5035336342493413
"Acura"	"RL"	8.588	29.725	0	42	3.5	210	114.6	71.4	196.6	3.85	18	22	2.1503658800165346	1.017343406319261	-0.5926187754015971	1.0179485923088587	0.42033342682749936	0.424182468232544	0.930838691394937	0.07242447285453696	0.6891438050709741	0.748569341894885	0.012365714170037557	-0.43045226968800443
"Audi"	"A4"	20.397	22.255	0	23.99	1.8	150	102.6	68.2	178	2.998	16.4	27	3.0153878312124323	0.3651344229057509	-0.5926187754015971	-0.23695910107831403	-1.2070012417075744	-0.6340126017718813	-0.6395740972598313	-0.8546087796834316	-0.6956343561436612	-0.6027356404802905	-0.39916525340877995	0.7370301102336777
"Audi"	"A6"	18.78	23.555	0	33.95	2.8	200	108.7	76.1	192	3.561	18.5	22	2.932792473780117	0.4786379943164019	-0.5926187754015971	0.4570376022052087	-0.24974555433400175	0.24781662323180645	0.15871907030634372	1.4340045625196738	0.3466717867060646	0.2902041542112865	0.1409691415384179	-0.43045226968800443
"Audi"	"A8"	1.38	39	0	62	4.2	310	113	74	198.2	3.902	23.7	21	0.3220834991691132	1.8271477331144825	-0.5926187754015971	2.4115162695850083	1.0904124079890005	2.1878409182399197	0.721450319574302	0.8256389905416341	0.8082645071109423	0.8310433549036986	1.4784447861695733	-0.6639487456723409
"BMW"	"323i"	19.747		0	26.99	2.5	170	107.3	68.4	176	3.179	16.6	26.1	2.9830015810751727		-0.5926187754015971	-0.02792394948689161	-0.5369222605460734	-0.2812809117704062	-0.024495755036713324	-0.7966692013998078	-0.844535233693622	-0.31566263366115166	-0.34772388246142705	0.5268832818477752
"BMW"	"328i"	9.231	28.675	0	33.4	2.8	193	107.3	68.5	176	3.197	16.6	24	2.2225673850080145	0.9256674447952736	-0.5926187754015971	0.4187144910801143	-0.24974555433400175	0.12436053173129018	-0.024495755036713324	-0.767699412257998	-0.844535233693622	-0.28711393685040815	-0.34772388246142705	0.036540682280668424
"BMW"	"528i"	17.527	36.125	0	38.9	2.8	193	111.4	70.9	188	3.472	18.5	24.8	2.863742549091039	1.5761302194178504	-0.5926187754015971	0.8019456023310554	-0.24974555433400175	0.12436053173129018	0.512061947753667	-0.0724244728545205	0.04887003160614293	0.14904670886927873	0.1409691415384179	0.22333786306813774
"Buick"	"Century"	91.561	12.475	0	21.975	3.1	175	109	72.7	194.6	3.368	17.5	25	4.517005416824636	-0.4887616758605312	-0.5926187754015971	-0.37736104456388586	0.037431151878070335	-0.19309798927003743	0.19797939002271256	0.4490317316980855	0.5402429275210132	-0.0159013171483485	-0.11623771319834279	0.27003715826500485
"Buick"	"Regal"	39.35	13.74	0	25.3	3.8	240	109	72.7	196.2	3.543	17.5	23	3.6724959748634123	-0.37831396983401305	-0.5926187754015971	-0.1456804182167261	0.707510133039571	0.9532800032347567	0.19797939002271256	0.4490317316980855	0.6593636295609815	0.26165545740054363	-0.11623771319834279	-0.196955793703668
"Buick"	"Park Avenue"	27.851	20.19	0	31.965	3.8	205	113.8	74.7	206.8	3.778	18.5	24	3.326868872371394	0.18483836524190927	-0.5926187754015971	0.31872601023555064	0.707510133039571	0.3359995457321752	0.8261445054846195	1.0284275145343154	1.4485382805757756	0.6343745546519123	0.1409691415384179	0.036540682280668424
"Buick"	"LeSabre"	83.257	13.36	0	27.885	3.8	205	112.2	73.5	200	3.591	17.5	25	4.421932209409769	-0.4114919368617419	-0.5926187754015971	0.0344382040712163	0.707510133039571	0.3359995457321752	0.6167561336639845	0.6807900448325767	0.9422752969059079	0.33778531556252545	-0.11623771319834279	0.27003715826500485
"Cadillac"	"DeVille"	63.729	22.525	0	39.895	4.6	275	115.3	74.5	207.2	3.978	18.5	22	4.154639718005856	0.38870824158334755	-0.5926187754015971	0.8712755942755441	1.4733146829384292	1.570560460737338	1.0224461040664656	0.9704879362506915	1.478318456085766	0.9515822969935032	0.1409691415384179	-0.43045226968800443
"Cadillac"	"Seville"	15.943	27.1	0	44.475	4.6	275	112.2	75	201		18.5	22	2.769019861425228	0.7881535025092927	-0.5926187754015971	1.1904025923717823	1.4733146829384292	1.570560460737338	0.6167561336639845	1.1153368819597491	1.0167257356808883		0.1409691415384179	-0.43045226968800443
"Cadillac"	"Eldorado"	6.536	25.725	0	39.665	4.6	275	108	75.5	200.6	3.843	19	22	1.8773253575577018	0.6681016481326426	-0.5926187754015971	0.8552495659868682	1.4733146829384292	1.570560460737338	0.0671116576348152	1.2601858276688065	0.9869455601708957	0.7374670709129292	0.26957256890679826	-0.43045226968800443
"Cadillac"	"Catera"	11.185	18.225	0	31.01	3	200	107.4	70.3	194.8	3.77	18	22	2.414573594942093	0.013273351532732982	-0.5926187754015971	0.25218315364561467	-0.05829441685928703	0.24781662323180645	-0.011408981797922471	-0.24624320770539193	0.5551330152760106	0.6216862449582486	0.012365714170037557	-0.43045226968800443
"Cadillac"	"Escalade"	14.785		1	46.225	5.7	255	117.5	77	201.2	5.572	30	15	2.6936131533044407		1.6766775108923242	1.3123397641334453	2.52629593904936	1.217828770735863	1.31035511531984	1.6947326647959788	1.0316158234358836	3.4797280034559797	3.098847971011166	-2.0649276015783595
